Player,Team,Pos,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Jose Fernandez,DOO,DH,144,586,104,199,29,0,21,105,0,1,58,42,0,11,13,.340,.405,.497,.902
Jun Woo Jeon,LOT,OF,143,562,95,157,34,1,26,96,5,5,52,79,3,3,8,.279,.346,.482,.828
Mel Rojas,KTW,OF,142,550,116,192,39,1,47,135,0,1,65,132,0,8,5,.349,.422,.680,1.102
Hyun Soo Kim,LG,OF,142,547,98,181,35,2,22,119,0,2,63,53,0,7,2,.331,.404,.523,.927
Jung Hoo Lee,KIW,OF,140,544,85,181,49,5,15,101,12,2,59,47,2,8,4,.333,.401,.524,.925
Dae Ho Lee,LOT,1B,144,542,67,158,27,0,20,110,1,0,53,68,0,11,5,.292,.363,.452,.815
Preston Tucker,KIA,OF,142,542,100,166,40,0,32,113,0,2,76,67,0,4,9,.306,.401,.557,.958
Jae Gyun Hwang,KTW,3B,134,541,108,169,35,5,21,97,11,6,47,98,3,4,5,.312,.368,.512,.880
Ah Seop Son,LOT,OF,141,540,98,190,43,0,11,85,5,0,61,56,1,7,2,.352,.418,.493,.910
Ha Seong Kim,KIW,SS,138,533,111,163,24,1,30,109,23,2,75,68,3,3,8,.306,.398,.523,.922
Jeong Dae Bae,KTW,OF,144,533,88,154,25,3,13,65,22,13,68,142,5,4,5,.289,.369,.420,.789
Ji Hwan Oh,LG,SS,141,527,95,158,41,7,10,71,20,8,45,116,5,5,9,.300,.360,.461,.821
Sung Bum Na,NCD,OF,130,525,115,170,37,2,34,112,3,1,49,148,0,1,9,.324,.392,.596,.989
Hyung Woo Choi,KIA,OF,140,522,93,185,37,1,28,115,0,0,70,101,0,3,5,.354,.438,.590,1.028
Jae Hwan Kim,DOO,OF,140,516,82,137,26,1,30,113,6,0,91,154,0,6,1,.266,.376,.494,.870
Joo Hwan Choi,DOO,2B,140,509,63,156,29,4,16,88,2,2,47,66,1,10,7,.306,.371,.473,.845
Baek Ho Kang,KTW,1B,129,500,95,165,36,1,23,89,7,2,66,93,0,3,5,.330,.420,.544,.964
Hye Sung Kim,KIW,2B,142,499,80,142,24,6,7,61,25,7,46,94,2,4,2,.285,.344,.399,.742
Soo Bin Jung,DOO,OF,141,490,84,146,17,8,5,59,15,6,55,56,7,5,2,.298,.367,.396,.762
Hae Min Park,SAM,OF,132,489,84,142,18,5,11,55,34,12,39,77,7,3,3,.290,.341,.415,.756
Kun Woo Park,DOO,OF,129,487,103,148,40,0,14,70,8,2,42,65,3,7,12,.304,.369,.472,.841
Dixon Machado,LOT,SS,144,486,79,136,31,1,12,67,15,1,54,60,4,8,8,.280,.356,.422,.778
