팀,이름,생일,루타,볼넷,사구,안타,타수,타점,홈런,희비,타율,출루율,장타율,OPS
NC,나성범,1989-10-03,60,12,1,34,93,14,4,0,0.3655913978494624,0.4433962264150944,0.6451612903225806,1.088557516737675
NC,양의지,1987-06-05,225,48,15,139,394,68,20,6,0.35279187817258884,0.43628509719222464,0.5710659898477157,1.0073510870399405
KT,강백호,1999-07-29,217,61,2,147,438,65,13,4,0.3356164383561644,0.4158415841584158,0.4954337899543379,0.9112753741127536
KIA,최형우,1983-12-16,221,85,7,137,456,86,17,7,0.3004385964912281,0.4126126126126126,0.4846491228070176,0.8972617354196302
두산,페르난데스,1988-04-27,277,63,6,197,581,90,15,6,0.33907056798623064,0.4054878048780488,0.4767641996557659,0.8822520045338147
NC,박민우,1993-02-06,203,42,9,161,471,45,1,6,0.3418259023354565,0.4015151515151515,0.4309978768577495,0.832513028372901
한화,최재훈,1989-08-27,135,56,14,108,373,31,3,4,0.289544235924933,0.3982102908277405,0.36193029490616624,0.7601405857339067
키움,박병호,1986-07-10,265,85,14,133,475,107,36,9,0.28,0.3979416809605489,0.5578947368421052,0.9558364178026542
삼성,러프,1986-07-28,243,80,7,138,472,101,22,9,0.2923728813559322,0.3961267605633803,0.5148305084745762,0.9109572690379566
SK,최정,1987-02-28,261,71,26,147,511,99,29,8,0.2876712328767123,0.3961038961038961,0.5107632093933464,0.9068671054972426
키움,샌즈,1987-09-28,296,86,6,170,568,119,28,5,0.2992957746478873,0.3939849624060151,0.5211267605633803,0.9151117229693952
두산,박건우,1990-09-08,219,60,7,149,475,67,11,11,0.3136842105263158,0.3905967450271248,0.4610526315789474,0.8516493766060722
키움,이정후,1998-08-20,283,48,5,212,620,76,6,6,0.3419354838709677,0.390279823269514,0.4564516129032258,0.8467314361727398
NC,박석민,1985-06-22,172,65,12,96,364,74,19,3,0.2637362637362637,0.3896396396396397,0.4725274725274725,0.8621671121671122
KIA,유민상,1989-04-13,81,24,3,51,175,26,5,0,0.2914285714285714,0.38613861386138615,0.4628571428571429,0.848995756718529
두산,김재호,1985-03-21,139,69,8,105,385,51,4,11,0.2727272727272727,0.3847780126849895,0.36103896103896105,0.7458169737239505
