Date,Price,Open,High,Low,Vol.,Change %
19-Mar-21,"3,913.10","3,913.14","3,930.12","3,886.75",-,-0.06%
18-Mar-21,"3,915.46","3,953.50","3,969.62","3,910.86",-,-1.48%
17-Mar-21,"3,974.12","3,949.57","3,983.87","3,935.74",-,0.29%
16-Mar-21,"3,962.71","3,973.59","3,981.04","3,953.44",-,-0.16%
15-Mar-21,"3,968.94","3,942.96","3,970.08","3,923.54",-,0.65%
12-Mar-21,"3,943.34","3,924.52","3,944.99","3,915.21",-,0.10%
11-Mar-21,"3,939.34","3,915.54","3,960.27","3,915.54",-,1.04%
10-Mar-21,"3,898.81","3,891.99","3,917.35","3,885.73",-,0.60%
09-Mar-21,"3,875.44","3,851.93","3,903.76","3,851.93",-,1.42%
08-Mar-21,"3,821.35","3,844.39","3,881.06","3,819.25",-,-0.54%
05-Mar-21,"3,841.94","3,793.58","3,851.69","3,730.19",-,1.95%
04-Mar-21,"3,768.47","3,818.53","3,843.67","3,723.34",-,-1.34%
03-Mar-21,"3,819.72","3,863.99","3,874.47","3,818.86",-,-1.31%
02-Mar-21,"3,870.29","3,903.64","3,906.41","3,868.57",-,-0.81%
01-Mar-21,"3,901.82","3,842.51","3,914.50","3,842.51",-,2.38%
26-Feb-21,"3,811.15","3,839.66","3,861.08","3,789.54",-,-0.48%
25-Feb-21,"3,829.34","3,915.80","3,925.02","3,814.04",-,-2.45%
24-Feb-21,"3,925.43","3,873.71","3,928.65","3,859.60",-,1.14%
23-Feb-21,"3,881.37","3,857.07","3,895.98","3,805.59",-,0.13%
22-Feb-21,"3,876.50","3,885.55","3,902.92","3,874.71",-,-0.77%
