"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 06, 2019","3,564.68","3,601.04","3,601.04","3,557.02","85.53K","-0.90%"
"Jun 05, 2019","3,597.11","3,627.79","3,634.45","3,593.95","88.64K","-0.04%"
"Jun 04, 2019","3,598.47","3,632.56","3,636.13","3,584.46","87.10K","-0.92%"
"Jun 03, 2019","3,632.01","3,640.61","3,672.81","3,613.13","100.72K","0.06%"
"May 31, 2019","3,629.79","3,641.00","3,668.18","3,627.54","89.22K","-0.31%"
"May 30, 2019","3,641.18","3,648.85","3,650.97","3,612.62","94.20K","-0.62%"
"May 29, 2019","3,663.91","3,642.54","3,693.23","3,637.35","93.36K","-0.23%"
"May 28, 2019","3,672.26","3,633.02","3,683.23","3,627.79","117.89K","0.96%"
"May 27, 2019","3,637.20","3,592.60","3,648.03","3,556.26","108.83K","1.20%"
"May 24, 2019","3,593.91","3,584.90","3,623.39","3,580.79","80.93K","0.28%"
"May 23, 2019","3,583.96","3,629.53","3,631.47","3,578.11","99.90K","-1.79%"
"May 22, 2019","3,649.38","3,663.15","3,679.27","3,634.75","98.35K","-0.47%"
"May 21, 2019","3,666.78","3,619.44","3,690.09","3,610.68","111.02K","1.35%"
"May 20, 2019","3,617.79","3,635.74","3,644.50","3,583.83","108.96K","-0.85%"
"May 17, 2019","3,648.76","3,744.88","3,745.36","3,637.58","128.45K","-2.54%"
"May 16, 2019","3,743.96","3,720.04","3,745.14","3,707.90","116.26K","0.45%"
"May 15, 2019","3,727.09","3,674.99","3,741.04","3,674.99","110.16K","2.25%"
"May 14, 2019","3,645.15","3,630.44","3,683.26","3,630.44","102.31K","-0.64%"
"May 13, 2019","3,668.73","3,675.76","3,702.90","3,658.00","103.39K","-1.65%"
"May 10, 2019","3,730.45","3,643.06","3,732.92","3,589.29","148.00K","3.63%"
"May 09, 2019","3,599.70","3,637.35","3,656.90","3,584.82","101.04K","-1.85%"
"May 08, 2019","3,667.46","3,648.55","3,722.93","3,642.50","112.87K","-1.43%"
"May 07, 2019","3,720.67","3,702.27","3,738.18","3,671.83","132.85K","0.98%"
"May 06, 2019","3,684.62","3,775.08","3,791.61","3,647.14","197.47K","-5.84%"
"Apr 30, 2019","3,913.21","3,887.18","3,923.11","3,885.15","116.23K","0.33%"
"Apr 29, 2019","3,900.33","3,896.58","3,953.23","3,875.45","153.87K","0.28%"
"Apr 26, 2019","3,889.27","3,921.89","3,943.83","3,887.25","142.01K","-1.33%"
"Apr 25, 2019","3,941.82","4,013.60","4,022.56","3,938.33","159.72K","-2.19%"
"Apr 24, 2019","4,030.09","4,033.63","4,044.34","3,967.81","145.50K","0.28%"
"Apr 23, 2019","4,019.01","4,021.63","4,061.09","4,005.28","155.61K","-0.16%"
"Apr 22, 2019","4,025.61","4,125.97","4,126.09","4,015.47","189.35K","-2.31%"
"Apr 19, 2019","4,120.61","4,076.30","4,120.64","4,046.20","150.80K","1.19%"
"Apr 18, 2019","4,072.08","4,085.11","4,094.05","4,056.24","146.56K","-0.37%"
"Apr 17, 2019","4,087.24","4,080.72","4,106.62","4,057.50","180.37K","0.04%"
"Apr 16, 2019","4,085.79","3,958.10","4,085.79","3,943.49","202.04K","2.77%"
"Apr 15, 2019","3,975.52","4,056.49","4,085.39","3,974.23","182.65K","-0.33%"
"Apr 12, 2019","3,988.62","3,986.78","4,006.93","3,961.46","135.86K","-0.22%"
"Apr 11, 2019","3,997.58","4,083.46","4,097.12","3,990.24","169.05K","-2.16%"
"Apr 10, 2019","4,085.85","4,062.44","4,115.38","4,035.47","194.69K","0.26%"
"Apr 09, 2019","4,075.43","4,063.81","4,084.24","4,038.28","182.96K","0.45%"
"Apr 08, 2019","4,057.23","4,097.10","4,122.60","4,017.49","267.51K","-0.12%"
"Apr 04, 2019","4,062.23","4,039.74","4,072.11","4,021.71","260.41K","1.00%"
"Apr 03, 2019","4,022.16","3,947.87","4,026.50","3,939.78","231.92K","1.28%"
"Apr 02, 2019","3,971.29","3,986.34","3,988.10","3,956.51","226.00K","-0.07%"
"Apr 01, 2019","3,973.93","3,901.17","3,982.91","3,901.17","271.38K","2.62%"
"Mar 29, 2019","3,872.34","3,739.77","3,876.38","3,739.77","215.64K","3.86%"
"Mar 28, 2019","3,728.40","3,731.06","3,755.72","3,710.08","133.27K","-0.40%"
"Mar 27, 2019","3,743.39","3,724.41","3,750.26","3,703.45","138.76K","1.16%"
"Mar 26, 2019","3,700.44","3,766.53","3,770.84","3,687.55","173.05K","-1.13%"
"Mar 25, 2019","3,742.83","3,776.44","3,807.18","3,741.61","198.59K","-2.37%"
"Mar 22, 2019","3,833.80","3,838.13","3,845.58","3,786.59","171.36K","-0.08%"
"Mar 21, 2019","3,836.89","3,840.28","3,864.07","3,823.47","196.31K","0.04%"
"Mar 20, 2019","3,835.44","3,825.34","3,855.15","3,790.51","175.63K","0.04%"
"Mar 19, 2019","3,833.96","3,856.59","3,868.34","3,815.22","181.73K","-0.46%"
"Mar 18, 2019","3,851.75","3,753.64","3,851.75","3,733.68","216.93K","2.85%"
"Mar 15, 2019","3,745.01","3,713.94","3,782.24","3,713.94","175.18K","1.26%"
"Mar 14, 2019","3,698.49","3,710.29","3,747.82","3,673.85","190.82K","-0.69%"
"Mar 13, 2019","3,724.19","3,758.71","3,763.09","3,708.81","233.68K","-0.83%"
"Mar 12, 2019","3,755.35","3,758.32","3,804.72","3,723.68","274.93K","0.68%"
"Mar 11, 2019","3,729.95","3,663.98","3,731.91","3,650.81","230.91K","1.98%"
"Mar 08, 2019","3,657.58","3,721.40","3,774.54","3,656.19","317.99K","-3.97%"
"Mar 07, 2019","3,808.85","3,841.15","3,845.18","3,778.80","329.85K","-1.02%"
"Mar 06, 2019","3,848.09","3,822.86","3,855.16","3,787.52","318.08K","0.84%"
"Mar 05, 2019","3,816.01","3,785.38","3,816.16","3,770.79","230.85K","0.58%"
"Mar 04, 2019","3,794.10","3,783.04","3,886.58","3,764.78","323.49K","1.18%"
"Mar 01, 2019","3,749.71","3,699.22","3,749.71","3,668.77","204.71K","2.19%"
"Feb 28, 2019","3,669.37","3,675.26","3,695.46","3,650.05","184.81K","-0.25%"
"Feb 27, 2019","3,678.39","3,682.81","3,737.63","3,638.33","286.24K","-0.17%"
"Feb 26, 2019","3,684.69","3,734.71","3,762.11","3,679.27","358.04K","-1.20%"
"Feb 25, 2019","3,729.48","3,575.85","3,729.48","3,574.69","342.56K","5.95%"
"Feb 22, 2019","3,520.12","3,439.38","3,520.12","3,417.98","187.24K","2.25%"
"Feb 21, 2019","3,442.71","3,450.14","3,500.25","3,431.63","180.14K","-0.27%"
"Feb 20, 2019","3,451.93","3,449.93","3,463.77","3,421.51","147.39K","0.36%"
"Feb 19, 2019","3,439.61","3,454.72","3,480.79","3,419.07","179.08K","-0.18%"
"Feb 18, 2019","3,445.74","3,366.42","3,445.74","3,366.42","182.89K","3.21%"
"Feb 15, 2019","3,338.70","3,391.24","3,395.03","3,335.87","143.67K","-1.86%"
"Feb 14, 2019","3,402.14","3,392.85","3,415.40","3,381.98","151.13K","0.15%"
"Feb 13, 2019","3,397.03","3,337.78","3,405.58","3,329.14","163.83K","2.00%"
"Feb 12, 2019","3,330.34","3,306.35","3,335.36","3,298.63","122.23K","0.72%"
"Feb 11, 2019","3,306.47","3,239.81","3,307.06","3,239.81","98.82K","1.82%"
"Feb 01, 2019","3,247.40","3,225.73","3,247.50","3,207.72","82.02K","1.43%"
"Jan 31, 2019","3,201.63","3,182.70","3,216.07","3,178.01","86.25K","1.05%"
"Jan 30, 2019","3,168.48","3,181.66","3,202.90","3,167.89","63.75K","-0.80%"
"Jan 29, 2019","3,193.97","3,177.26","3,200.99","3,148.23","77.66K","0.32%"
"Jan 28, 2019","3,183.78","3,203.12","3,228.87","3,174.72","82.62K","-0.02%"
"Jan 25, 2019","3,184.47","3,165.18","3,203.17","3,164.41","83.97K","0.81%"
"Jan 24, 2019","3,158.78","3,146.60","3,165.63","3,125.30","72.94K","0.56%"
"Jan 23, 2019","3,141.05","3,136.10","3,157.63","3,131.87","59.87K","-0.07%"
"Jan 22, 2019","3,143.32","3,181.95","3,181.95","3,135.34","72.99K","-1.33%"
"Jan 21, 2019","3,185.64","3,170.88","3,199.21","3,170.88","93.92K","0.55%"
"Jan 18, 2019","3,168.17","3,124.50","3,171.69","3,120.35","103.96K","1.82%"
"Jan 17, 2019","3,111.42","3,132.63","3,141.71","3,110.06","80.18K","-0.55%"
"Jan 16, 2019","3,128.65","3,126.13","3,135.01","3,117.29","80.21K","0.02%"
"Jan 15, 2019","3,127.99","3,071.52","3,129.37","3,064.67","88.77K","1.96%"
"Jan 14, 2019","3,067.78","3,092.50","3,097.41","3,064.38","66.12K","-0.87%"
"Jan 11, 2019","3,094.78","3,082.26","3,102.83","3,071.03","71.79K","0.72%"
"Jan 10, 2019","3,072.69","3,077.48","3,092.54","3,062.57","85.27K","-0.19%"
"Jan 09, 2019","3,078.48","3,065.23","3,117.96","3,062.85","107.36K","1.01%"
"Jan 08, 2019","3,047.70","3,049.87","3,055.51","3,038.53","86.17K","-0.22%"
"Jan 07, 2019","3,054.30","3,055.15","3,061.75","3,035.91","101.16K","0.61%"
"Jan 04, 2019","3,035.87","2,940.19","3,036.81","2,935.83","103.32K","2.40%"
"Jan 03, 2019","2,964.84","2,963.02","3,000.44","2,953.25","70.87K","-0.16%"
"Jan 02, 2019","2,969.54","3,017.07","3,018.78","2,958.49","68.66K","-1.37%"
"Dec 28, 2018","3,010.65","2,994.80","3,024.35","2,984.82","71.05K","0.67%"
"Dec 27, 2018","2,990.51","3,042.95","3,047.23","2,990.51","80.54K","-0.38%"
"Dec 26, 2018","3,002.03","3,012.87","3,029.06","2,996.48","55.65K","-0.51%"
"Dec 25, 2018","3,017.28","3,006.88","3,030.14","2,964.88","78.69K","-0.69%"
"Dec 24, 2018","3,038.20","3,015.50","3,040.35","3,007.33","57.30K","0.29%"
"Dec 21, 2018","3,029.40","3,055.33","3,057.40","3,007.61","76.76K","-1.24%"
"Dec 20, 2018","3,067.42","3,083.54","3,097.72","3,044.29","69.75K","-0.77%"
"Dec 19, 2018","3,091.13","3,133.74","3,137.01","3,086.76","55.52K","-1.19%"
