"순번","비상소화장치ID","비상소화장치번호","서소코드","최종변경일시","새주소","위도","경도"
"133","719605005","000256","72255","20090325091948"," ","37.5534919","126.964145"
"135","719610003","000373","72255","20090403185355"," ","37.5592334","126.9656985"
"136","719501009","000376","72255","20090403185118","동산1길6","37.5555699","126.9672287"
"137","719706008","000283","72255","20090417101857","감골1길7-6","37.5582685","126.9620789"
"138","879912075","000022","91251","20090330154132"," ","37.5040523","126.9599826"
"139","719406010","000367","72255","20090328082940"," ","37.5578087","126.9751993"
"140","879507016","000145","91253","20090409102946"," ","37.4861093","126.9774085"
"141","729506002","054","75253","20090504113546"," ","37.5870642","127.0354022"
"142","729606031","000148","72250","20090324234530"," ","37.5567086","127.0160049"
"143","729010001","06-52","71257","20090402225210"," ","37.5769541","127.0124214"
"144","719504006","4-01","71254","20090331080217"," ","37.5695814","127.0004085"
"145","719706001","000291","72255","20090325094125","만리재2길6","37.552925","126.9628182"
"147","719402001","92","92253","20090329145222"," ","37.5595485","126.9588139"
"148","719402006","110","92253","20090329144257"," ","37.5622207","126.9586163"
"149","719609007","111","92253","20090417063017"," ","37.5632678","126.9581565"
"150","719406006","119","92253","20090326130722","영천2길10","37.5705384","126.9605602"
"151","719604005","126","92253","20090402190606"," ","37.5696289","126.9625137"
"152","779501006","56","77251","20090409194643"," ","37.5950555","127.000816"
"153","839211018","000026","83255","20090325124649","복누리길34","37.5775884","126.8958362"
"154","719501010","000384","72252","20090328185811","부엉바위4길6","37.557608","126.9845333"
"155","729402005","000047","72250","20090401223045"," ","37.57063","127.0211294"
"156","729606032","000158","72254","20090402002047"," ","37.5544434","127.0088434"
"157","729406012","06-54","71257","20090402225156"," ","37.5763187","127.0129641"
"159","779207001","21","77251","20090324090158"," ","37.5855117","127.0159412"
"160","779605021","83","77251","20090409184813","인촌로6-8","37.5849264","127.0205015"
"161","779305001","22","77250","20090326165342"," ","37.605076","127.0295753"
"162","779501003","53","77252","20090422102228"," ","37.61395","126.9977296"
"163","779605020","82","77251","20090409184540"," ","37.596073","126.9947315"
"164","838905006","000007","83251","20090328205446"," ","37.5429402","126.9417836"
"165","789306014","51","92252","20090402234404"," ","37.6018129","126.9474371"
"166","789610001","17","92250","20090327145128"," ","37.5610978","126.928368"
"167","739206010","000023","73253","20090418122046"," ","37.5594615","127.0252047"
"168","739206035","000006","73256","20090421193227"," ","37.5593679","127.0930968"
"2","879912015","000101","91251","20090330162423"," ","37.5098881","126.9389848"
"3","879912005","000088","91251","20090327062451"," ","37.5067929","126.9371543"
"4","879912082","000030","91251","20090330162242"," ","37.5089769","126.9360371"
"5","879912078","000026","91251","20090330153758"," ","37.5071442","126.9597864"
"6","879912008","000091","91251","20090330154057"," ","37.5100627","126.9616866"
"7","879912009","000092","91251","20090330154741"," ","37.5019533","126.9613285"
"8","858903001","000003","85257","20090410102657"," ","37.4827232","126.8904827"
"9","719406005","2-34","71252","20090327205819"," ","37.5729816","126.963758"
